"LISTING_ID","START_DATE","END_DATE","NUM_DAYS_AVAILABLE","MINIMUM_NIGHTS_TO_BOOK","MAXIMUM_NIGHTS_TO_BOOK"
743759,"2021-07-12","2022-07-11",365,91,365
1510876,"2021-07-12","2022-07-11",365,29,1125
1454258,"2021-07-12","2022-07-11",365,29,1125
